epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1200.57,2.21655,1.40239,1.21206,0.3523,0.58362,0.31598,0.09313,2.82856,1.46,1.10839,0.0003095,0.0003095,0.0003095
78,1210.13,2.29974,1.41553,1.26091,0.3575,0.54134,0.33657,0.08092,2.97369,1.46267,1.14822,0.000297125,0.000297125,0.000297125
79,1219.67,2.29403,1.41571,1.26748,0.35526,0.5951,0.34734,0.0904,2.89471,1.45847,1.1419,0.00028475,0.00028475,0.00028475
80,1229.48,2.23189,1.39959,1.23132,0.35283,0.58097,0.34556,0.09061,2.91547,1.4556,1.13864,0.000272375,0.000272375,0.000272375
81,1239.08,2.26079,1.45808,1.26427,0.33144,0.56114,0.32447,0.08015,2.93773,1.46863,1.14897,0.00026,0.00026,0.00026
82,1248.71,2.25396,1.44378,1.1783,0.32171,0.55342,0.31849,0.08241,2.94777,1.43132,1.14725,0.000247625,0.000247625,0.000247625
83,1258.09,2.23294,1.37562,1.20555,0.31323,0.54124,0.30737,0.08359,2.90064,1.43059,1.14035,0.00023525,0.00023525,0.00023525
84,1267.58,2.23684,1.37934,1.23115,0.34287,0.50653,0.30731,0.08191,2.88546,1.44704,1.12862,0.000222875,0.000222875,0.000222875
85,1276.94,2.24811,1.40247,1.18029,0.30422,0.61591,0.31822,0.08879,2.86893,1.44343,1.12604,0.0002105,0.0002105,0.0002105
86,1286.37,2.1941,1.41567,1.20198,0.31747,0.53475,0.31267,0.08751,2.90947,1.45373,1.13884,0.000198125,0.000198125,0.000198125
87,1295.69,2.14513,1.35062,1.22796,0.30415,0.57893,0.31617,0.08719,2.88591,1.47151,1.15702,0.00018575,0.00018575,0.00018575
88,1305.07,2.26026,1.40202,1.17778,0.32531,0.56241,0.32409,0.09524,2.8657,1.47212,1.15501,0.000173375,0.000173375,0.000173375
89,1314.45,2.25862,1.36027,1.18502,0.35508,0.6123,0.33972,0.1045,2.7489,1.47942,1.13604,0.000161,0.000161,0.000161
90,1323.86,2.16877,1.37913,1.18544,0.32068,0.5828,0.32236,0.10434,2.72029,1.46886,1.10105,0.000148625,0.000148625,0.000148625
91,1333.48,2.14434,1.3936,1.17533,0.32722,0.56675,0.31295,0.09622,2.79471,1.49851,1.1056,0.00013625,0.00013625,0.00013625
92,1342.81,2.12598,1.37408,1.17829,0.32712,0.54991,0.30332,0.08967,2.83134,1.51053,1.10669,0.000123875,0.000123875,0.000123875
93,1352.13,2.11552,1.3374,1.16635,0.32713,0.55019,0.30274,0.08789,2.87853,1.47151,1.10523,0.0001115,0.0001115,0.0001115
94,1361.76,2.1018,1.33124,1.20265,0.33795,0.50876,0.29873,0.07726,3.02293,1.46401,1.13076,9.9125e-05,9.9125e-05,9.9125e-05
95,1371.45,2.07023,1.33613,1.16222,0.339,0.49313,0.30539,0.08013,2.9597,1.45457,1.1219,8.675e-05,8.675e-05,8.675e-05
96,1381.01,2.07092,1.33028,1.16722,0.33968,0.50118,0.30211,0.07715,3.0025,1.51362,1.14183,7.4375e-05,7.4375e-05,7.4375e-05
97,1390.58,2.09469,1.33465,1.15736,0.33952,0.54,0.30789,0.09473,2.81683,1.4886,1.12285,6.2e-05,6.2e-05,6.2e-05
98,1400.13,2.06788,1.35785,1.167,0.30341,0.57043,0.32645,0.09847,2.82072,1.45303,1.12388,4.9625e-05,4.9625e-05,4.9625e-05
99,1409.65,2.08205,1.31388,1.17218,0.37201,0.49342,0.32517,0.09485,2.84143,1.4516,1.12831,3.725e-05,3.725e-05,3.725e-05
100,1419.2,2.05591,1.31879,1.16764,0.35504,0.51029,0.34493,0.09754,2.88555,1.44265,1.1235,2.4875e-05,2.4875e-05,2.4875e-05
